Los Olivos Marketplace,,,,,,
Burnt Crumbs,8549 Irvine Ctr Dr,Food,(949) 502-5998,2 locations,,
Phans55,8557 Irvine Center Dr,Food,(949) 825-5117,2 locations,,
Han Taiwanese Restaurant,8691 Irvine Center Dr,Food,(949) 407-4996,,,
Revival Spa,8689 Irvine Center Dr,Spa,(949) 932-0189,,,
Puesto,8577 Irvine Center Dr,Food,(949) 608-9990,3 locations,,
Fukada,8683 Irvine Center Dr,Food,(949) 341-0111,,,
Sugar Rush Sweet Shoppe,8585 Irvine Center Dr,Food,(949) 502-5610,,,
Radiant Hot Yoga,8501 Irvine Center Drive,Yoga,(949) 679-4442,2 locations,,
Spectrum Montessori,8673 Irvine Ctr Dr,School,(949) 783-5331,4 locations,,
Other,,,,,,
3D fitness,3941 Irvine Blvd,Gym,(714) 389-9337,,,
Gen Sushi,3957 Irvine Blvd,Food,(714) 508-1668,,,
ART & FRAME EXPO,6286 Irvine Blvd,Art Gallery,(949) 737-1124,,,
Inka’s Restaurant,16277 Laguna Canyon Rd Ste A,Food,(949) 753-1276,,,
Yasai Japanese Grill,16277 Laguna Canyon Rd Ste C,Food,(949) 753-8870,"5+ locations, but don't seem to be the same company",,
Jing's Kitchen,196 technology dr Ste K,Food,(949) 387-0871,,,
Sandwich Plus,216 Technology Dr Ste B,Food,(949) 453-9675,,,
Maizuru,Oak Creek Village Center 5623 Alton Pkwy,Food,(949) 551-68,,,
Diamond Jamboree,,,,,,
Oak Creek Cleaners,5685 Alton Pkwy,Cleaners,(949) 786-0985,,,
Square One Pizza Cafe,5789 Alton Pkwy,Food,(949) 451-1750,,,
Chef Hung Taiwanese Beef Noodle,2710 Alton Pkwy Ste 117,Food,(949) 756-0088,,,
Bon Épi Pâtisserie Café,2750 Alton Pkwy Ste 101,Food,(949) 251-0070,,,
Meet Fresh,2710 Alton Pkwy Ste 105,Food,(949) 955-9236,,,
SWSH Shabu Shabu,2710 Alton Pkwy Ste 213,Food,(949) 474-0888,,,
Five Star Spa,2700 Alton Pkwy Ste 235,Spa,(949) 656-9898,,,
Square Room Escape,2710 Alton Pkwy Ste 209,Amusement,(949) 491-8336,,,
Salon Loxy,2700 Alton Pkwy Ste 227,Hair Salon,(949) 553-1999,,,
Crystal Chalet,2710 Alton Pkwy Ste 111,Jewelry,(949) 756-9818,3 locations,,
Plush Karaoke Lounge,2710 Alton Pkwy Ste 203,Karaoke,(949) 222-9986,,,
Urban Seoul,2750 Alton Pkwy Ste 131,Food,(949) 553-0188,,,
Coffeebar Byul,2750 Alton Pkwy Ste 141,Cafe,(949) 247-2491,,,
Yigah Restaurant,2750 Alton Pkwy Ste 105,Food,(949) 475-0011,,,
Palace Beauty,2700 Alton Pkwy Ste 143,Skin Care,(949) 261-2454,,,
Spice Bar ,2700 Alton Pkwy Ste 125,Food,(949) 752-7799,,,
Culver Plaza,,,,,,
All That Barbecue,15333 Culver Dr Ste 100,Food,(949) 336-8965,,,
Golden Vision Optometry,15333 Culver Dr Ste 690,Optometry,949.552.4271,,,
Meizhou Dongpo,15363 Culver Dr,Food,(949) 433-5686,,,
Irvine Art & Music,15315 Culver Dr Ste 150,Art,(949) 559-3069,,,
Alton Square,,,,,,
Crazy Rock'N Sushi,5365 Alton Pkwy Ste B-1,Food,(949) 551-3599,(3- locations),,
Relax Lounge Reflexology,5405 Alton Pkwy Suite B,Massage Spa,(949) 262-1348,,,
Alton Retail Center,,,,,,
Chi Acupuncture,15370 Alton Pkwy,Acupuncture,(949) 500-0433,,,
DentAll By Dr Z,15362 Alton Pkw,Cosmetic Dentist,(949) 447-5050,2 locations,,
Metro for Men,15382 Alton Pkwy,Spa,(949) 450-0150,,,
Pacifico Fish Company,15354 Alton Pkwy,Food,(949) 788-0944,,,
Arbor Village Shopping Center,,,,,,
