timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1497142135977,338,Login,200,OK,Scaled-Version_HTTP_10_threads 6-1,text,true,,11820,217,4,26,337,0,188
1497142136036,300,Login,200,OK,Scaled-Version_HTTP_10_threads 6-2,text,true,,11820,217,4,27,300,0,133
1497142136130,270,Login,200,OK,Scaled-Version_HTTP_10_threads 6-3,text,true,,11820,217,5,32,270,0,135
1497142136317,136,Search,200,,Scaled-Version_HTTP_10_threads 6-1,text,true,,1299,181,5,35,136,0,0
1497142136338,146,Search,200,,Scaled-Version_HTTP_10_threads 6-2,text,true,,1299,173,5,33,146,0,0
1497142136255,294,Login,200,OK,Scaled-Version_HTTP_10_threads 6-4,text,true,,11820,217,5,29,294,0,133
1497142136402,148,Search,200,,Scaled-Version_HTTP_10_threads 6-3,text,true,,1299,173,5,29,148,0,0
1497142136357,283,Login,200,OK,Scaled-Version_HTTP_10_threads 6-5,text,true,,11820,217,5,30,283,0,141
1497142136550,134,Search,200,,Scaled-Version_HTTP_10_threads 6-4,text,true,,1299,181,5,28,134,0,0
1497142136459,284,Login,200,OK,Scaled-Version_HTTP_10_threads 6-6,text,true,,11820,217,4,29,284,0,136
1497142136641,131,Search,200,,Scaled-Version_HTTP_10_threads 6-5,text,true,,1299,182,5,30,131,0,0
1497142136537,276,Login,200,OK,Scaled-Version_HTTP_10_threads 6-7,text,true,,11820,217,4,26,276,0,141
1497142136743,141,Search,200,,Scaled-Version_HTTP_10_threads 6-6,text,true,,1299,182,5,28,141,0,0
1497142136630,272,Login,200,OK,Scaled-Version_HTTP_10_threads 6-8,text,true,,11820,217,4,25,272,0,137
1497142136814,133,Search,200,,Scaled-Version_HTTP_10_threads 6-7,text,true,,1299,181,4,24,133,0,0
1497142136755,271,Login,200,OK,Scaled-Version_HTTP_10_threads 6-9,text,true,,11820,217,3,19,271,0,134
1497142136903,143,Search,200,,Scaled-Version_HTTP_10_threads 6-8,text,true,,1299,181,3,17,143,0,0
1497142136848,277,Login,200,OK,Scaled-Version_HTTP_10_threads 6-10,text,true,,11820,217,2,13,276,0,137
1497142137027,139,Search,200,,Scaled-Version_HTTP_10_threads 6-9,text,true,,1299,181,2,9,139,0,0
1497142137125,131,Search,200,,Scaled-Version_HTTP_10_threads 6-10,text,true,,1299,182,1,3,131,0,0
1497142197441,327,Login,200,OK,Scaled-Version_HTTP_10_threads 6-1,text,true,,11820,217,4,26,323,0,131
1497142197550,284,Login,200,OK,Scaled-Version_HTTP_10_threads 6-2,text,true,,11820,217,4,29,281,0,139
1497142197769,138,Search,200,,Scaled-Version_HTTP_10_threads 6-1,text,true,,1299,181,5,28,138,0,0
1497142197644,284,Login,200,OK,Scaled-Version_HTTP_10_threads 6-3,text,true,,11820,217,4,27,284,0,132
1497142197834,146,Search,200,,Scaled-Version_HTTP_10_threads 6-2,text,true,,1299,181,5,28,146,0,0
1497142197753,281,Login,200,OK,Scaled-Version_HTTP_10_threads 6-4,text,true,,11820,217,4,29,281,0,141
1497142197928,138,Search,200,,Scaled-Version_HTTP_10_threads 6-3,text,true,,1299,173,5,30,138,0,0
1497142197846,275,Login,200,OK,Scaled-Version_HTTP_10_threads 6-5,text,true,,11820,217,4,28,275,0,135
1497142198034,140,Search,200,,Scaled-Version_HTTP_10_threads 6-4,text,true,,1299,173,5,32,140,0,0
1497142197955,298,Login,200,OK,Scaled-Version_HTTP_10_threads 6-6,text,true,,11820,217,5,33,298,0,153
1497142198122,133,Search,200,,Scaled-Version_HTTP_10_threads 6-5,text,true,,1299,182,5,31,133,0,0
1497142198052,277,Login,200,OK,Scaled-Version_HTTP_10_threads 6-7,text,true,,11820,217,4,27,276,0,133
1497142198254,136,Search,200,,Scaled-Version_HTTP_10_threads 6-6,text,true,,1299,181,5,29,136,0,0
1497142198142,286,Login,200,OK,Scaled-Version_HTTP_10_threads 6-8,text,true,,11820,217,4,27,286,0,145
1497142198329,136,Search,200,,Scaled-Version_HTTP_10_threads 6-7,text,true,,1299,181,4,22,136,0,0
1497142198254,281,Login,200,OK,Scaled-Version_HTTP_10_threads 6-9,text,true,,11820,217,3,20,281,0,135
1497142198429,133,Search,200,,Scaled-Version_HTTP_10_threads 6-8,text,true,,1299,181,3,16,133,0,0
1497142198347,276,Login,200,OK,Scaled-Version_HTTP_10_threads 6-10,text,true,,11820,217,2,13,274,0,135
1497142198536,134,Search,200,,Scaled-Version_HTTP_10_threads 6-9,text,true,,1299,181,2,10,134,0,0
1497142198623,142,Search,200,,Scaled-Version_HTTP_10_threads 6-10,text,true,,1299,182,1,4,142,0,0
1497142284347,359,Login,200,OK,Scaled-Version_HTTP_10_threads 6-1,text,true,,11820,217,4,30,359,0,196
1497142284398,313,Login,200,OK,Scaled-Version_HTTP_10_threads 6-2,text,true,,11820,217,5,32,313,0,146
1497142284476,276,Login,200,OK,Scaled-Version_HTTP_10_threads 6-3,text,true,,11820,217,5,32,276,0,135
1497142284708,145,Search,200,,Scaled-Version_HTTP_10_threads 6-1,text,true,,1299,181,6,37,145,0,0
1497142284712,144,Search,200,,Scaled-Version_HTTP_10_threads 6-2,text,true,,1299,181,5,31,144,0,0
1497142284588,285,Login,200,OK,Scaled-Version_HTTP_10_threads 6-4,text,true,,11820,217,4,29,283,0,140
