timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1497153454864,4663,Login,200,,Scaled-Version_HTTP_1_thread 6-1,text,true,,9923,234,1,72,4660,0,141
1497153459528,313,Search,200,,Scaled-Version_HTTP_1_thread 6-1,text,true,,9199,238,1,72,313,0,141
1497153459841,178,Search,200,,Scaled-Version_HTTP_1_thread 6-1,text,true,,9315,247,1,72,178,0,0
1497153460019,162,Search,200,,Scaled-Version_HTTP_1_thread 6-1,text,true,,9302,246,1,72,162,0,0
1497153460181,205,Search,200,,Scaled-Version_HTTP_1_thread 6-1,text,true,,9198,238,1,72,205,0,0
1497153460386,236,Search,200,,Scaled-Version_HTTP_1_thread 6-1,text,true,,9302,246,1,72,236,0,0
1497153460622,168,Search,200,,Scaled-Version_HTTP_1_thread 6-1,text,true,,9302,246,1,72,168,0,0
1497153460790,218,Search,200,,Scaled-Version_HTTP_1_thread 6-1,text,true,,9198,238,1,72,218,0,0
1497153461008,213,Search,200,,Scaled-Version_HTTP_1_thread 6-1,text,true,,9198,238,1,72,213,0,0
1497153461221,275,Search,200,,Scaled-Version_HTTP_1_thread 6-1,text,true,,9302,246,1,72,273,0,0
1497153461497,212,Search,200,,Scaled-Version_HTTP_1_thread 6-1,text,true,,9315,247,1,72,212,0,0
1497153461709,308,Search,200,,Scaled-Version_HTTP_1_thread 6-1,text,true,,9303,246,1,72,308,0,159
1497153462017,155,Search,200,,Scaled-Version_HTTP_1_thread 6-1,text,true,,9315,247,1,72,155,0,0
1497153462172,156,Search,200,,Scaled-Version_HTTP_1_thread 6-1,text,true,,9315,247,1,72,156,0,0
1497153462329,238,Search,200,,Scaled-Version_HTTP_1_thread 6-1,text,true,,9302,246,1,72,238,0,0
1497153462567,220,Search,200,,Scaled-Version_HTTP_1_thread 6-1,text,true,,9198,238,1,72,220,0,0
1497153462787,216,Search,200,,Scaled-Version_HTTP_1_thread 6-1,text,true,,9302,246,1,72,216,0,0
1497153463003,157,Search,200,,Scaled-Version_HTTP_1_thread 6-1,text,true,,9302,246,1,72,157,0,0
1497153463161,239,Search,200,,Scaled-Version_HTTP_1_thread 6-1,text,true,,9302,246,1,72,239,0,0
1497153463401,231,Search,200,,Scaled-Version_HTTP_1_thread 6-1,text,true,,9302,246,1,72,231,0,0
1497153463633,226,Search,200,,Scaled-Version_HTTP_1_thread 6-1,text,true,,9315,247,1,72,226,0,0
1497153463860,473,Search,200,,Scaled-Version_HTTP_1_thread 6-1,text,true,,9199,238,1,72,473,0,230
1497153464333,245,Search,200,,Scaled-Version_HTTP_1_thread 6-1,text,true,,9302,246,1,72,245,0,0
