timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1497142136052,294,Login,200,OK,Scaled-Version_HTTP_nops_10_threads 7-2,text,true,,11820,217,4,27,294,0,131
1497142136145,264,Login,200,OK,Scaled-Version_HTTP_nops_10_threads 7-3,text,true,,11820,217,5,32,264,0,130
1497142136348,137,Search,200,,Scaled-Version_HTTP_nops_10_threads 7-2,text,true,,1304,186,6,33,137,0,0
1497142136255,291,Login,200,OK,Scaled-Version_HTTP_nops_10_threads 7-4,text,true,,11820,217,5,29,281,0,133
1497142136411,140,Search,200,,Scaled-Version_HTTP_nops_10_threads 7-3,text,true,,1304,178,5,28,140,0,0
1497142136350,278,Login,200,OK,Scaled-Version_HTTP_nops_10_threads 7-5,text,true,,11820,217,5,28,278,0,140
1497142136547,134,Search,200,,Scaled-Version_HTTP_nops_10_threads 7-4,text,true,,1304,178,6,29,134,0,0
1497142136458,284,Login,200,OK,Scaled-Version_HTTP_nops_10_threads 7-6,text,true,,11820,217,5,29,283,0,137
1497142135977,770,Login,200,OK,Scaled-Version_HTTP_nops_10_threads 7-1,text,true,,11820,217,5,28,630,0,188
1497142136628,140,Search,200,,Scaled-Version_HTTP_nops_10_threads 7-5,text,true,,1304,178,6,30,139,0,0
1497142136552,277,Login,200,OK,Scaled-Version_HTTP_nops_10_threads 7-7,text,true,,11820,217,5,27,277,0,132
1497142136742,141,Search,200,,Scaled-Version_HTTP_nops_10_threads 7-6,text,true,,1304,186,6,29,141,0,0
1497142136749,137,Search,200,,Scaled-Version_HTTP_nops_10_threads 7-1,text,true,,1304,178,5,27,137,0,0
1497142136646,269,Login,200,OK,Scaled-Version_HTTP_nops_10_threads 7-8,text,true,,11820,217,4,25,268,0,134
1497142136830,131,Search,200,,Scaled-Version_HTTP_nops_10_threads 7-7,text,true,,1304,178,4,21,131,0,0
1497142136755,282,Login,200,OK,Scaled-Version_HTTP_nops_10_threads 7-9,text,true,,11820,217,3,18,282,0,140
1497142136915,133,Search,200,,Scaled-Version_HTTP_nops_10_threads 7-8,text,true,,1304,186,3,16,133,0,0
1497142136848,274,Login,200,OK,Scaled-Version_HTTP_nops_10_threads 7-10,text,true,,11820,217,2,13,274,0,137
1497142137038,140,Search,200,,Scaled-Version_HTTP_nops_10_threads 7-9,text,true,,1304,186,2,8,140,0,0
1497142137122,133,Search,200,,Scaled-Version_HTTP_nops_10_threads 7-10,text,true,,1304,178,1,3,133,0,0
1497142197550,279,Login,200,OK,Scaled-Version_HTTP_nops_10_threads 7-2,text,true,,11820,217,4,26,277,0,139
1497142197644,279,Login,200,OK,Scaled-Version_HTTP_nops_10_threads 7-3,text,true,,11820,217,5,27,279,0,132
1497142197829,139,Search,200,,Scaled-Version_HTTP_nops_10_threads 7-2,text,true,,1304,186,6,29,139,0,0
1497142197753,295,Login,200,OK,Scaled-Version_HTTP_nops_10_threads 7-4,text,true,,11820,217,5,30,295,0,142
