timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1497156908796,5081,Login,200,,Single-Instance_HTTPS_10_threads 1-4,text,true,,9795,244,10,10,5081,0,987
1497156909097,4783,Login,200,,Single-Instance_HTTPS_10_threads 1-7,text,true,,9795,244,10,10,4782,0,686
1497156908899,4990,Login,200,,Single-Instance_HTTPS_10_threads 1-5,text,true,,9795,244,10,10,4990,0,894
1497156908596,5297,Login,200,,Single-Instance_HTTPS_10_threads 1-2,text,true,,9795,244,10,10,5297,0,1187
1497156909198,4701,Login,200,,Single-Instance_HTTPS_10_threads 1-8,text,true,,9795,244,10,10,4700,0,613
1497156908998,4903,Login,200,,Single-Instance_HTTPS_10_threads 1-6,text,true,,9795,244,10,10,4903,0,803
1497156908695,5207,Login,200,,Single-Instance_HTTPS_10_threads 1-3,text,true,,9795,244,10,10,5207,0,1105
1497156909300,4614,Login,200,,Single-Instance_HTTPS_10_threads 1-9,text,true,,9795,244,10,10,4614,0,601
1497156908495,5436,Login,200,,Single-Instance_HTTPS_10_threads 1-1,text,true,,9795,244,10,10,5436,0,1307
1497156909400,4537,Login,200,,Single-Instance_HTTPS_10_threads 1-10,text,true,,9795,244,10,10,4537,0,607
1497156913878,407,Search,200,,Single-Instance_HTTPS_10_threads 1-4,text,true,,9165,236,10,10,406,0,268
1497156913880,415,Search,200,,Single-Instance_HTTPS_10_threads 1-7,text,true,,9165,236,10,10,415,0,272
1497156913899,423,Search,200,,Single-Instance_HTTPS_10_threads 1-8,text,true,,9269,244,10,10,423,0,279
1497156913894,433,Search,200,,Single-Instance_HTTPS_10_threads 1-2,text,true,,9282,245,10,10,433,0,278
1497156913903,424,Search,200,,Single-Instance_HTTPS_10_threads 1-3,text,true,,9269,244,10,10,424,0,272
1497156913915,418,Search,200,,Single-Instance_HTTPS_10_threads 1-9,text,true,,9269,244,10,10,418,0,266
1497156913901,443,Search,200,,Single-Instance_HTTPS_10_threads 1-6,text,true,,9269,244,10,10,443,0,268
1497156913931,415,Search,200,,Single-Instance_HTTPS_10_threads 1-1,text,true,,9282,245,10,10,415,0,265
