timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1497142136021,322,Login,200,,Single-Instance_HTTP_10_threads 2-2,text,true,,11371,222,4,27,322,0,144
1497142136115,284,Login,200,,Single-Instance_HTTP_10_threads 2-3,text,true,,11371,222,5,32,284,0,141
1497142135977,504,Login,200,,Single-Instance_HTTP_10_threads 2-1,text,true,,11371,222,6,36,504,0,188
1497142136345,139,Search,404,,Single-Instance_HTTP_10_threads 2-2,text,false,,1219,186,6,33,139,0,0
1497142136224,278,Login,200,,Single-Instance_HTTP_10_threads 2-4,text,true,,11371,222,5,28,278,0,131
1497142136400,137,Search,404,,Single-Instance_HTTP_10_threads 2-3,text,false,,1219,186,6,30,137,0,0
1497142136483,134,Search,404,,Single-Instance_HTTP_10_threads 2-1,text,false,,1219,187,6,29,134,0,0
1497142136504,150,Search,404,,Single-Instance_HTTP_10_threads 2-4,text,false,,1219,187,5,31,150,0,0
1497142136357,297,Login,200,,Single-Instance_HTTP_10_threads 2-5,text,true,,11371,222,5,31,297,0,146
1497142136427,269,Login,200,,Single-Instance_HTTP_10_threads 2-6,text,true,,11371,222,4,26,269,0,136
1497142136521,267,Login,200,,Single-Instance_HTTP_10_threads 2-7,text,true,,11371,222,5,27,266,0,133
1497142136655,134,Search,404,,Single-Instance_HTTP_10_threads 2-5,text,false,,1219,178,5,27,134,0,0
1497142136697,133,Search,404,,Single-Instance_HTTP_10_threads 2-6,text,false,,1219,186,5,27,133,0,0
1497142136614,278,Login,200,,Single-Instance_HTTP_10_threads 2-8,text,true,,11371,222,4,25,278,0,140
1497142136789,130,Search,404,,Single-Instance_HTTP_10_threads 2-7,text,false,,1219,187,4,25,130,0,0
1497142136724,269,Login,200,,Single-Instance_HTTP_10_threads 2-9,text,true,,11371,222,3,19,269,0,136
1497142136893,133,Search,404,,Single-Instance_HTTP_10_threads 2-8,text,false,,1219,187,3,19,133,0,0
1497142136817,277,Login,200,,Single-Instance_HTTP_10_threads 2-10,text,true,,11371,222,2,13,277,0,140
1497142136993,132,Search,404,,Single-Instance_HTTP_10_threads 2-9,text,false,,1219,178,2,13,132,0,0
1497142137094,134,Search,404,,Single-Instance_HTTP_10_threads 2-10,text,false,,1219,187,1,6,134,0,0
1497142197431,332,Login,200,,Single-Instance_HTTP_10_threads 2-1,text,true,,11371,222,4,26,331,0,139
1497142197535,280,Login,200,,Single-Instance_HTTP_10_threads 2-2,text,true,,11371,222,4,26,273,0,138
1497142197764,135,Search,404,,Single-Instance_HTTP_10_threads 2-1,text,false,,1219,187,5,31,135,0,0
1497142197628,291,Login,200,,Single-Instance_HTTP_10_threads 2-3,text,true,,11371,222,4,27,290,0,147
1497142197816,133,Search,404,,Single-Instance_HTTP_10_threads 2-2,text,false,,1219,186,5,29,132,0,0
1497142197737,287,Login,200,,Single-Instance_HTTP_10_threads 2-4,text,true,,11371,222,4,27,286,0,152
1497142197919,134,Search,404,,Single-Instance_HTTP_10_threads 2-3,text,false,,1219,178,5,33,134,0,0
1497142197830,278,Login,200,,Single-Instance_HTTP_10_threads 2-5,text,true,,11371,222,4,28,274,0,138
1497142198024,134,Search,404,,Single-Instance_HTTP_10_threads 2-4,text,false,,1219,178,5,34,134,0,0
1497142197939,290,Login,200,,Single-Instance_HTTP_10_threads 2-6,text,true,,11371,222,4,28,287,0,144
1497142198108,145,Search,404,,Single-Instance_HTTP_10_threads 2-5,text,false,,1219,178,5,33,145,0,0
1497142198036,282,Login,200,,Single-Instance_HTTP_10_threads 2-7,text,true,,11371,222,4,28,282,0,139
1497142198229,132,Search,404,,Single-Instance_HTTP_10_threads 2-6,text,false,,1219,186,5,32,131,0,0
1497142198127,280,Login,200,,Single-Instance_HTTP_10_threads 2-8,text,true,,11371,222,4,28,280,0,130
1497142198318,137,Search,404,,Single-Instance_HTTP_10_threads 2-7,text,false,,1219,178,4,25,137,0,0
1497142198236,275,Login,200,,Single-Instance_HTTP_10_threads 2-9,text,true,,11371,222,3,20,275,0,135
1497142198407,137,Search,404,,Single-Instance_HTTP_10_threads 2-8,text,false,,1219,186,3,19,137,0,0
1497142198330,285,Login,200,,Single-Instance_HTTP_10_threads 2-10,text,true,,11371,222,2,13,285,0,133
1497142198511,134,Search,404,,Single-Instance_HTTP_10_threads 2-9,text,false,,1219,178,2,12,134,0,0
1497142198616,132,Search,404,,Single-Instance_HTTP_10_threads 2-10,text,false,,1219,187,1,6,132,0,0
1497142284347,363,Login,200,,Single-Instance_HTTP_10_threads 2-1,text,true,,11371,222,5,32,363,0,196
1497142284492,278,Login,200,,Single-Instance_HTTP_10_threads 2-3,text,true,,11371,222,5,32,278,0,130
1497142284712,141,Search,404,,Single-Instance_HTTP_10_threads 2-1,text,false,,1219,186,6,37,141,0,0
1497142284585,280,Login,200,,Single-Instance_HTTP_10_threads 2-4,text,true,,11371,222,5,29,280,0,143
1497142284770,144,Search,404,,Single-Instance_HTTP_10_threads 2-3,text,false,,1219,178,6,31,144,0,0
1497142284679,279,Login,200,,Single-Instance_HTTP_10_threads 2-5,text,true,,11371,222,5,29,277,0,132
1497142284866,146,Search,404,,Single-Instance_HTTP_10_threads 2-4,text,false,,1219,178,6,35,146,0,0
1497142284788,302,Login,200,,Single-Instance_HTTP_10_threads 2-6,text,true,,11371,222,6,35,302,0,146
1497142284959,139,Search,404,,Single-Instance_HTTP_10_threads 2-5,text,false,,1219,178,6,35,139,0,0
1497142284882,293,Login,200,,Single-Instance_HTTP_10_threads 2-7,text,true,,11371,222,5,29,291,0,139
1497142285090,136,Search,404,,Single-Instance_HTTP_10_threads 2-6,text,false,,1219,186,6,33,136,0,0
1497142284975,289,Login,200,,Single-Instance_HTTP_10_threads 2-8,text,true,,11371,222,5,29,289,0,145
1497142285175,144,Search,404,,Single-Instance_HTTP_10_threads 2-7,text,false,,1219,178,5,28,144,0,0
1497142285089,289,Login,200,,Single-Instance_HTTP_10_threads 2-9,text,true,,11371,222,4,22,285,0,136
1497142285265,139,Search,404,,Single-Instance_HTTP_10_threads 2-8,text,false,,1219,178,4,18,139,0,0
1497142285179,287,Login,200,,Single-Instance_HTTP_10_threads 2-10,text,true,,11371,222,3,16,279,0,141
1497142285379,140,Search,404,,Single-Instance_HTTP_10_threads 2-9,text,false,,1219,187,3,14,140,0,0
1497142285466,138,Search,404,,Single-Instance_HTTP_10_threads 2-10,text,false,,1219,178,2,6,138,0,0
1497142284398,1638,Login,200,,Single-Instance_HTTP_10_threads 2-2,text,true,,11371,222,1,2,811,0,146
1497142286036,134,Search,404,,Single-Instance_HTTP_10_threads 2-2,text,false,,1219,187,1,2,134,0,0
1497142292651,315,Login,200,,Single-Instance_HTTP_10_threads 2-2,text,true,,11371,222,5,32,313,0,147
1497142292598,360,Login,200,,Single-Instance_HTTP_10_threads 2-1,text,true,,11371,222,5,32,358,0,196
1497142292745,282,Login,200,,Single-Instance_HTTP_10_threads 2-3,text,true,,11371,222,5,32,282,0,133
1497142292974,136,Search,404,,Single-Instance_HTTP_10_threads 2-1,text,false,,1219,178,6,37,136,0,0
1497142292976,134,Search,404,,Single-Instance_HTTP_10_threads 2-2,text,false,,1219,186,6,37,134,0,0
1497142292854,284,Login,200,,Single-Instance_HTTP_10_threads 2-4,text,true,,11371,222,4,27,284,0,138
1497142293028,136,Search,404,,Single-Instance_HTTP_10_threads 2-3,text,false,,1219,178,5,30,136,0,0
