timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1497142135977,349,Login,200,,Single-Instance_HTTP_nops_10_threads 3-1,text,true,,11371,222,5,27,348,0,188
1497142136021,316,Login,200,,Single-Instance_HTTP_nops_10_threads 3-2,text,true,,11371,222,5,27,316,0,144
1497142136114,274,Login,200,,Single-Instance_HTTP_nops_10_threads 3-3,text,true,,11371,222,5,32,272,0,139
1497142136327,153,Search,200,,Single-Instance_HTTP_nops_10_threads 3-1,text,true,,1163,192,6,37,153,0,0
1497142136339,145,Search,200,,Single-Instance_HTTP_nops_10_threads 3-2,text,true,,1163,191,5,33,145,0,0
1497142136224,278,Login,200,,Single-Instance_HTTP_nops_10_threads 3-4,text,true,,11371,222,4,28,278,0,133
1497142136389,161,Search,200,,Single-Instance_HTTP_nops_10_threads 3-3,text,true,,1163,183,5,29,161,0,0
1497142136320,274,Login,200,,Single-Instance_HTTP_nops_10_threads 3-5,text,true,,11371,222,4,27,274,0,139
1497142136504,150,Search,200,,Single-Instance_HTTP_nops_10_threads 3-4,text,true,,1163,183,5,31,150,0,0
1497142136427,278,Login,200,,Single-Instance_HTTP_nops_10_threads 3-6,text,true,,11371,222,4,26,277,0,137
1497142136595,148,Search,200,,Single-Instance_HTTP_nops_10_threads 3-5,text,true,,1163,191,5,29,148,0,0
1497142136537,284,Login,200,,Single-Instance_HTTP_nops_10_threads 3-7,text,true,,11371,222,4,27,282,0,141
1497142136705,140,Search,200,,Single-Instance_HTTP_nops_10_threads 3-6,text,true,,1163,192,5,28,140,0,0
1497142136614,282,Login,200,,Single-Instance_HTTP_nops_10_threads 3-8,text,true,,11371,222,4,25,282,0,140
1497142136821,138,Search,200,,Single-Instance_HTTP_nops_10_threads 3-7,text,true,,1163,183,4,22,138,0,0
1497142136724,268,Login,200,,Single-Instance_HTTP_nops_10_threads 3-9,text,true,,11371,222,3,19,265,0,133
1497142136896,141,Search,200,,Single-Instance_HTTP_nops_10_threads 3-8,text,true,,1163,183,3,18,141,0,0
1497142136833,279,Login,200,,Single-Instance_HTTP_nops_10_threads 3-10,text,true,,11371,222,2,13,273,0,139
1497142136992,133,Search,200,,Single-Instance_HTTP_nops_10_threads 3-9,text,true,,1163,183,2,13,133,0,0
1497142137113,133,Search,200,,Single-Instance_HTTP_nops_10_threads 3-10,text,true,,1163,183,1,5,133,0,0
1497142197434,306,Login,200,,Single-Instance_HTTP_nops_10_threads 3-1,text,true,,11371,222,4,23,285,0,137
1497142197535,271,Login,200,,Single-Instance_HTTP_nops_10_threads 3-2,text,true,,11371,222,4,26,270,0,136
1497142197741,154,Search,200,,Single-Instance_HTTP_nops_10_threads 3-1,text,true,,1163,191,5,32,154,0,0
1497142197628,291,Login,200,,Single-Instance_HTTP_nops_10_threads 3-3,text,true,,11371,222,4,27,290,0,147
1497142197807,139,Search,200,,Single-Instance_HTTP_nops_10_threads 3-2,text,true,,1163,191,5,30,139,0,0
1497142197737,291,Login,200,,Single-Instance_HTTP_nops_10_threads 3-4,text,true,,11371,222,4,27,289,0,154
1497142197919,137,Search,200,,Single-Instance_HTTP_nops_10_threads 3-3,text,true,,1163,183,5,32,137,0,0
1497142197831,279,Login,200,,Single-Instance_HTTP_nops_10_threads 3-5,text,true,,11371,222,4,28,279,0,137
1497142198029,143,Search,200,,Single-Instance_HTTP_nops_10_threads 3-4,text,true,,1163,192,5,33,143,0,0
1497142197939,290,Login,200,,Single-Instance_HTTP_nops_10_threads 3-6,text,true,,11371,222,4,28,290,0,144
1497142198110,143,Search,200,,Single-Instance_HTTP_nops_10_threads 3-5,text,true,,1163,183,5,33,143,0,0
1497142198034,279,Login,200,,Single-Instance_HTTP_nops_10_threads 3-7,text,true,,11371,222,4,28,279,0,140
1497142198230,133,Search,200,,Single-Instance_HTTP_nops_10_threads 3-6,text,true,,1163,192,5,31,133,0,0
1497142198127,279,Login,200,,Single-Instance_HTTP_nops_10_threads 3-8,text,true,,11371,222,4,28,275,0,130
1497142198313,131,Search,200,,Single-Instance_HTTP_nops_10_threads 3-7,text,true,,1163,192,4,26,130,0,0
1497142198236,274,Login,200,,Single-Instance_HTTP_nops_10_threads 3-9,text,true,,11371,222,3,20,272,0,135
